,LeftX,LeftY,RightX,RightY
0,276,197,385,189
1,276,194,385,185
2,275,191,386,184
3,275,190,387,182
4,271,190,386,183
5,271,191,388,183
6,271,191,389,184
7,271,191,389,184
8,272,191,389,184
9,272,189,388,182
10,271,188,388,181
11,271,188,388,181
12,271,189,388,182
13,271,190,388,182
14,271,190,387,182
15,270,187,387,180
16,270,185,386,177
17,269,185,385,178
18,269,186,384,179
19,269,189,383,181
20,274,195,379,188
21,276,193,382,186
22,273,188,381,180
23,269,186,381,178
24,267,186,380,178
25,266,187,377,178
26,265,187,377,178
27,265,187,376,178
28,266,184,376,175
29,267,183,377,175
30,267,184,377,176
31,267,185,377,177
32,268,185,378,177
33,275,187,383,178
34,279,187,387,178
35,281,187,389,180
36,282,188,391,181
37,284,188,393,181
38,285,188,393,181
39,285,188,393,181
40,285,188,393,181
41,284,186,392,180
42,285,186,393,180
43,287,187,395,180
44,288,187,396,180
45,289,187,397,181
46,289,188,397,181
47,290,187,398,181
48,292,187,399,181
49,295,188,404,183
50,297,188,406,183
51,297,188,406,184
52,297,189,407,184
53,298,188,407,184
54,299,187,407,183
55,298,188,407,183
56,299,188,408,184
57,299,189,408,184
58,299,189,407,184
59,298,189,406,184
60,297,188,405,183
61,292,189,398,184
62,287,194,391,189
63,279,195,389,189
64,277,193,385,187
65,275,192,385,186
66,274,190,383,184
67,272,190,382,183
68,267,191,377,183
69,263,192,373,184
70,260,192,369,184
71,256,193,365,183
72,254,192,362,182
73,253,191,361,181
74,252,191,360,181
75,252,192,359,182
76,251,191,359,181
77,250,191,358,181
78,249,190,356,180
79,248,189,355,179
80,247,190,354,179
81,246,191,353,180
82,245,192,352,180
83,244,192,351,181
84,242,193,349,181
85,241,194,347,182
86,240,199,345,187
87,238,204,343,190
88,234,206,341,192
89,231,209,338,194
90,227,211,331,195
91,224,212,328,195
92,222,212,323,195
93,220,214,323,196
94,218,215,321,198
95,219,216,322,198
96,219,217,321,199
97,219,216,323,199
98,219,215,322,198
99,218,216,319,199
100,217,216,320,199
101,217,217,321,199
102,217,216,319,200
103,217,216,320,198
104,217,215,318,197
105,216,214,319,197
106,217,215,319,197
107,217,215,318,197
108,219,214,319,197
109,220,212,322,194
110,223,196,330,178
111,224,195,331,177
112,225,195,331,177
113,226,193,333,175
114,232,191,338,173
115,237,191,343,173
116,239,190,346,173
117,242,189,349,172
118,245,189,352,173
119,247,188,354,172
120,253,187,360,172
121,258,188,368,175
122,263,188,372,176
123,268,188,377,177
124,274,188,383,178
125,280,188,388,179
126,288,187,395,180
127,298,187,405,183
128,306,187,413,185
129,313,187,419,186
130,317,190,421,189
131,318,192,422,193
132,319,192,424,194
133,320,192,425,193
134,321,192,425,193
135,321,194,425,196
136,321,195,425,197
137,321,196,425,198
138,322,196,425,198
139,323,196,425,198
140,323,197,426,199
141,325,198,427,201
142,327,200,429,203
143,330,203,432,205
144,332,205,433,207
145,333,204,434,207
146,335,204,435,208
147,334,205,435,208
148,332,206,434,209
149,332,206,433,209
150,331,207,432,209
151,330,206,431,209
152,329,205,431,209
153,329,206,431,209
154,329,207,431,210
155,328,207,430,210
156,327,208,430,210
157,327,208,429,210
158,327,207,428,209
159,326,207,428,208
160,325,207,426,209
161,323,207,426,209
162,322,207,425,209
163,322,207,424,208
164,322,206,425,207
165,322,203,424,206
166,321,203,425,205
167,320,202,424,203
168,319,199,422,199
169,318,198,422,198
170,318,198,421,198
171,317,198,420,198
172,313,197,416,196
173,311,195,416,196
174,309,195,415,195
175,309,195,414,195
176,308,194,413,194
177,306,193,412,193
178,307,193,411,192
179,307,195,410,194
180,307,199,404,198
181,297,190,404,189
182,295,188,403,187
183,293,188,401,186
184,291,187,399,186
185,289,187,397,185
186,289,187,397,184
187,288,186,396,184
188,288,186,395,184
189,288,187,395,184
190,287,187,395,184
191,287,187,394,184
192,286,187,394,184
193,286,187,393,184
194,285,186,393,182
195,284,185,392,182
196,284,185,392,182
197,283,185,391,182
198,283,186,391,183
199,282,186,391,182
200,282,185,390,182
201,282,185,389,182
202,280,187,387,183
203,279,187,387,183
204,279,187,387,183
205,278,186,387,183
206,278,185,386,181
207,279,186,387,182
208,280,186,387,182
209,279,187,387,182
210,279,187,387,182
211,279,187,387,183
212,279,187,387,182
213,279,186,387,181
214,278,185,387,181
215,279,185,387,181
216,278,186,387,181
217,277,185,385,181
218,277,185,385,180
